丨フ一一一丨一丿丶	是
一丿丨丶	不
フ丨	了
丿丨フ一一丿フ丶	的
丿丨フ一一丿フ一	的
丿丨丿フ丨丿丶	你
一丿丨フ一一	有
一丿丿フ一一	有
丿一丨一フ丿丶	我
丿一丨一フ丶丿	我
一丿丨一丨一	在
丿一一丨丨丨丨一丶丶丶丶	無
丿丿フ一丿丿一丨	所
一フ一丿丿丿一丨	所
丶フ一丿丿丿一丨	所
フ丶丿丶	以
丨一丶丿丶	以
一丨丿丶丿丶丿丶	來
丿丶一丨フ丨丶丿一丨フ一一	會
丿丨丨フ一丨丨フ一一	個
丿丨丨フ一一一	但
一丨フ一丨	可
丶フ丶	之
丶一丿丶	之
丨フ一丨	中
フ丨フ	也
丨一一	上
一丨丶	下
丨一丨一丿フ一一	些
丨一フ一フ一一	些
丨一フ丿フ一一	些
丨一フフ丿一一	些
丨一丨一一フ一一	些
丨一丨一フ丿一一	些
丶一丿丨丿丶	亦
丿丶	人
丿丶	入
フ丶	又
一丨丿	才
一丨丨一一一丿丶	其
丿丨フ丨フ	他
丶一フ丿丿丶丶丶	於
丶一丿フ丿一丶丶	於
丶一丿フ丿丶丶丶	於
丶一フ丿丿一丶丶	於
フ	〇
一	一
一一	二
一一一	三
丨フ丿フ一	四
一丨フ一	五
一フ丨一	五
丶一丿丶	六
一フ	七
丿丶	八
丿フ	九
フ丿	九
一丨	十
丨フ一一丨フ一丨フ一	唔
丨フ一一フ丨一丨フ一	唔
丨フ一一丿一丨一	咗
丨フ一フ一一フ丶一フ丿フ	嘅
丨フ一丿丨フ一一一一一フ丿フ	嘅
丨フ一丿丨フ一一一フ一フ丿フ	嘅
丨フ一丿丨フ一一丿フ一フ丿フ	嘅
丨フ一丿丨フ一一フ丿一フ丿フ	嘅
一丿丨フ	冇
一丿丿フ	冇
丨フ一丿一丨丿丶丿フ丿丿丶丨丶一丿丶	嚟
丨フ一一丨丨一一	咁
丨フ一丿丨フ一一丿フ丶	啲
丨フ一丿丨フ一一丿フ一	啲
丿丨一フ一フ	佢
丿丨一丨フ一一	佢
丨フ一丿丨丿フフ丶丨丿丶	喺
丶丿一丨丨丶丿一	並
丶丿一丨丨フ丨一一	並
フ一一フ丶フ丨	即
丨フ一一一	且
丿丨フ丿	仍
丿丨丿フ	仍
丿フ丿丿	勿
丨フ一丨フ一	同
一丿丨フ丨丨	而
丶丿フフフ丶丶丶丶	為
丿丶丶フ丶	令
丿丶一フ丨	令
丿丶一フ丶	令
丿丨一丨フ一丨	何
一丨フ丨一一	再
一丨フ一丨一	再
丿丨一丨フ一丿丶	使
一丨フ一一フ丿丶	或
一丨フ一一フ丶丿	或
一丨一丿丨フ一一フ丨	都
一丨一丿丨フ一一フフ丨	都
一丨一丿丨フ一一丶フ丨	都
一丨一丿丨フ一一丶フフ丨	都
丨一一一丨一一一	非
丿一一一丨一一一	非
一丨一丿丨フ一一	者
一丨一丿丨フ一一丶	者
フ丿	乃
丿フ	乃
丿丶丿一丨	乎
丿フ丶	久
丨フ一一一丿丶丨丨	則
一丿丨丶丨フ一	否
丿一丨一一丶フ丶丶	怎
丶丶一丿フフ丶	沒
丶一一一丨フ一丶フ丶	這
一一一一丨フ一丶フ丶	這
一一一一丨フ一丶丶フ丶	這
一一一一丨フ一丶フフ丶	這
丶一一一丨フ一丶丶フ丶	這
丶一一一丨フ一丶フフ丶	這
フ一一丿フ丨	那
フ一一丿フフ丨	那
フ丨丨フ丨	出
丨フ丨フ丨	出
一丨一フ丶	去
一フ丶一丨一丨丨	到
一フ丶一丨一	至
一一丿フ	元
丨フ丿丶	內
丿フ丶丨丶	外
丶フ丨丿丶丨フ一一丨一一	裡
丶フ丨丿丶丨フ一一一丨一	裡
丶一丨フ一一丨一一丿フ丿丶	裏
丶一丨フ一一一丨一丿フ丿丶	裏
一丨フ丨丿丶丿丶	兩
丿丨一丨フ一一丿丶	便
丿丨丨フ一一丨フ一一	們
丿丨一丨丨フ一丿一丿丶	做
フ丿一丨フ一	如
丿一丨一丿フ	先
一丿一丨一	左
一丿丨フ一	右
丶丿一丨フ一一丨丨	前
丶丿一丨フ丶丶丨丨	前
丶丿一丿フ一一丨丨	前
丶丿一丿フ丶丶丨丨	前
丿丿丨フフ丶丿フ丶	後
丶丿一一丨	半
丿丶一一丨	半
丿丶丿丶丨フ一フ丨	卻
丨フ一丿丶	只
丿フ丶	及
丿フフ丶	及
一丿丶丶	太
一丿丶	大
丨丿丶	小
丿フ丶丿フ丶	多
丨丿丶丿	少
フフ丶フフ丶一丿丶フ丿丶	幾
フフ丶フフ丶一丿丶フ丶丿	幾
フフ丶丶丶丶丨フ一丨一	細
フフ丶丨丿丶丨フ一丨一	細
丨フ一一丨一一丨フ丶丶丶丶	嗎
丨フ一丨一一一丨フ丶丶丶丶	嗎
丨フ一フ丨一フ	吧
丿一丨丿丶丨フ一	和
丶一丨フ一丨丿丶一丿フ丶	就
丿丿丨丨フ一一一一丨丶	得
丨一丨一丿フ	此
丨一フ一フ	此
丨一フ丿フ	此
丨一フフ丿	此
丨一丨一一フ	此
丨一丨一フ丿	此
丿フフ一フ	包
丿一フフ丶一丶	每
丿一フフ丶丶一	每
一丨丿丶丨フ一一一	相
丿丨一一フ一丨フ一一一丿丶	與
一フ丨丿丨一一フ一一一丿丶	與
一フ丿丿丨一一フ一一一丿丶	與
丿丨一一一フ丨フ一一一丿丶	與
丿丨一一一フ丿フ一一一丿丶	與
一丨フ丨丿丨一一フ一一一丿丶	與
一丨フ丿丿丨一一フ一一一丿丶	與
丿丨一一一丨フ丨フ一一一丿丶	與
丿丨一一一丨フ丿フ一一一丿丶	與
一丨フ丨丨一フ丿一	要
一一丿丶	天
一丨一フ丨フ	地
丿丿丨一一丨	行
丿丶フ丿	分
一丨丨一丿丶	共
丿丿フ丶	反
一丿フ丶	反
丨フ丨丨一一丨フ一丿フ丿丶丶フ丶	還
丨フ丨丨一一丨フ一丿丨丿丶丶フ丶	還
丨フ丨丨一一丨フ一丿丨丿丶丶丶フ丶	還
丨フ丨丨一一丨フ一丿丨丿丶丶フフ丶	還
丨フ丨丨一一丨フ一丿フ丿丶丶丶フ丶	還
丨フ丨丨一一丨フ一丿フ丿丶丶フフ丶	還
丿一丨フ一一丨一一	重
丿一丨フ一一一丨一	重
丿丨フ丨フ一	向
丿フ丨フ一丿フ	免
フ丿丨フ一丿フ	免
丿丨一フ一一丿フ	兒
一丨丨フ一一一一丿丶	真
一丿丨フ一一一一丿丶	真
丿丨フ一丨一一フ一フ丶	假
丿丨丨フ一一一フ一フ丶	假
丨フ一丿丶一	因
一丨丨フ一丿一丿丶	故
丿一一丿丨フ一一一	看
フフ丶丶丶丶丿丶一丨フ一	給
フフ丶丨丿丶丿丶一丨フ一	給
丶フ丨丿丶フ丿丨フ丶	被
丶フ丨丿丶丿フ丨フ丶	被
フフ	乜
丨フ一丶丿一一一丨	咩
丨フ一丨フ一一丨一一フ丶フ丨	嘢
丨フ一丨フ一一一丨一フ丶フ丨	嘢
丨フ一丿丨丨フ一丨丨フ一一	嗰
丨フ一一丨一フ丨フ	哋
丨フ一フ一丿丿フ	呢
丨フ一フ一丿一フ	呢
丨フ一フ一丿フ丿	呢
丨フ一丶丿一丨丿丶	咪
丨フ一丨フ一一一丨フ丿フ一	嗮
丿丨一丨一丿丿フ	佬
丿丨一丨一丿一フ	佬
丿丨一丨一丿フ丿	佬
丿丨フ丨一	仔
丨フ一丨一一丿丨	畀
丨フ一一一丶丿フ一フ丨丿	睇
丨フ一一丶丿フ一フ丨丿	睇
フ丿一フ丨一	好
丿丶丶フ一一フ丿丶	食
丿丶一フ一一フ丿丶	食
丿丶丶フ一一フ丶丿フ丿丶	飲
丿丶一フ一一フ丶丿フ丿丶	飲
丿丿丨フ一一フ丿丶	很
フ丿一	女
丶一丿丨丿フ丶丶	夜
丿フ丶丿フ丶丿フ丨フ一	夠
丨丨丶丿一丶丿一一丨一一丨丶	對
一丿丨フ丨丨一一一	面
丨フ一一一丨丨一一一フ丶	最
一フ丿フ	比
一フ一フ	比
一フフ丿	比
丿フ丿フ	比
フ丿フ丿	比
一丨丨一丿丨フ一	若
一丨一丨一丿丨フ一	若
丨一一丨一丿丨フ一	若
丶一一一丨フ一丶一フ丿丿丶	該
一一一一丨フ一丶一フ丿丿丶	該
丶丿一丿丨フ一一一丶フ丶	道
丶丿一丿丨フ一一一丶丶フ丶	道
丶丿一丿丨フ一一一丶フフ丶	道
フ一フ	已
フ一フ	弓
丿一一丨一丨	年
丿フ一一	月
丨フ一一	日
一丨丨一	廿
一丨丨一一一フ丿丶	甚
一丨丨一一一丿丶フ	甚
一丨丨一一一丿フフ	甚
一丨丨一一一丿丶丿フ一一	期
丨フ丿丶	水
丶丿丿丶	火
丶丶フ丿丶一丨一	空
丶丶フ丿フ一丨一	空
一丨丨一一一フ丶	取
丿丶丶丿丶フフ丶	受
丶フ丶丶	心
丶フ丶丿丶	必
丶フ丶丶丿	必
丿一一丨	手
丨フ一丨一丿丶	足
丨フ一	口
丨フ一フ一一丿フ丨	哪
丨フ一フ一一丿フフ丨	哪
丶一丿一丨丿丶一丨丿丶フフ丶	麼
丶一丿一丨丿丶一丨丿フフフ丶	麼
丶一丿一丨丿フ一丨丿丶フフ丶	麼
丶一丿一丨丿フ一丨丿フフフ丶	麼
フ丶丨フ一一丿フ丿フ	能
フ丶丨フ一一一フ一フ	能
フ丶丨フ一一一フ丿フ	能
フ丶丨フ一一一フフ丿	能
フ丶丨フ一一丿フ一フ	能
フ丶丨フ一一丿フフ丿	能
フ丶丨フ一一フ丿一フ	能
フ丶丨フ一一フ丿丿フ	能
フ丶丨フ一一フ丿フ丿	能
フ丶丿フ一一一フ一フ	能
フ丶丿フ一一一フ丿フ	能
フ丶丿フ一一一フフ丿	能
フ丶丿フ一一丿フ一フ	能
フ丶丿フ一一丿フ丿フ	能
フ丶丿フ一一丿フフ丿	能
フ丶丿フ一一フ丿一フ	能
フ丶丿フ一一フ丿丿フ	能
